term_id,dirname,tier,criteria,external_refs,attribution_mode,lifecycle,yaml_size,insight_size
8A3F,8A3F_flow,keep,,1,,draft,7714,7387
A001,A001_Pneuma,keep,,35,,working,3706,7046
A002,A002_Prana,keep,,19,,working,3651,7281
A003,A003_Qi,keep,,9,,working,3720,7861
A004,A004_Shu,keep,,7,,working,3707,7384
A005,A005_Ehecatl,keep,,7,,working,3735,7726
A006,A006_Four_Winds,keep,,13,,working,3894,8205
A007,A007_Information_Bateson,T3,DEMOTED T1→T3: 20 external references | T1: nemetic missing or empty/non-string,20,,working,4287,8310
A008,A008_Double_Bind,T3,DEMOTED T1→T3: 14 external references | T1: nemetic missing or empty/non-string,14,,working,4003,8708
A009,A009_Linguistic_Organism,T3,DEMOTED T1→T3: 9 external references | T1: nemetic missing or empty/non-string,9,,working,4179,8690
A010,A010_Virtual_Machine_Consciousness,T3,DEMOTED T1→T3: 11 external references | T1: nemetic missing or empty/non-string,11,,working,4128,8863
A011,A011_Conscious_Realism,T3,DEMOTED T1→T3: 6 external references | T1: nemetic missing or empty/non-string,6,,working,4512,9065
A012,A012_Interface_Theory,T3,DEMOTED T1→T3: 3 external references | T1: nemetic missing or empty/non-string,3,,working,4788,8065
A013,A013_Cognitive_Distortion,keep,,8,,draft,8825,8758
A014,A014_Dark_Patterns,keep,,4,,draft,8882,13368
A015,A015_Mask_Wears_You,keep,,5,,draft,8849,8633
A016,A016_Cognitive_Babel,T4,"T4: near-duplicate of [('C15C_Cognitive_AI', 4)]",9,,draft,5479,13405
A017,A017_Motivated_Reasoning,keep,,8,,draft,4767,8669
A019,A019_WYSIATI,keep,,5,,draft,6182,13008
A01A,A01A_Cognitive_Dissonance,keep,,7,,draft,4840,10095
A01B,A01B_Barnum_Effect,keep,,5,,draft,7586,6749
A01C,A01C_social_identity_bias,keep,,2,,draft,7832,9653
A01D,A01D_Neurological_Authoritarianism,keep,,2,,draft,8954,13433
A01F,A01F_AI_Cognition_Impacts,keep,,3,,draft,3999,8171
