term_id,dirname,tier,classification,recommendation,criteria,external_refs,lifecycle,yaml_size,insight_size
S15B,S15B_Science_Adaptive_Resonance,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7336,5498
S157,S157_Schizoanalysis_Deleuze_Guattari,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,7451,5497
S03F,S03F_Socially_Minded_Intelligence,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4583,5496
S042,S042_Reframing_Freedom_Creative_Agency,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,5,draft,4693,5494
S048,S048_Inner_Cosmos_Chakras_Neuroscope,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4789,5475
S131,S131_Schmachtenberger_Superstructure,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6409,5452
S04F,S04F_Cognitive_Map_Mnemonic_VR,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,4,draft,4701,5440
S039,S039_Brain_Efficiency_Cognitive_Tasks,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,14,draft,4490,5433
S03C,S03C_Ontology_AI_Knowledge_Graphs,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,1,draft,4727,5428
S147,S147_Anchor_Myth_Epistemic_Stability,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6381,5421
S04A,S04A_Fungi_Decision_Making_Cognition,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,4,draft,4731,5402
S040,S040_Ship_of_Theseus_Identity,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,5,draft,4614,5358
S132,S132_Liberated_Discernment,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6493,5342
S038,S038_Primal_World_Beliefs,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,7,draft,4125,5314
S125,S125_Control_vs_Coherence,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,4685,5314
S14F,S14F_Kathara_Grid_Source_Template,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6834,5299
S13A,S13A_Godel_Solipsism_Incomplete_Systems,T3,T3_LEGACY_LOW_INSIGHT,COMPOST — Low insight legacy term,T3: legacy S-series term,0,draft,6610,5295
