old_dir,old_term_id,new_dir,new_term_id,target_prefix,dominant
A004_Shu,A004,W008_Shu,W008,W,water
A005_Ehecatl,A005,W009_Ehecatl,W009,W,water
A06A_Personation,A06A,W00A_Personation,W00A,W,water
C001_critical_thinking_definitions,C001,A06B_critical_thinking_definitions,A06B,A,air
C002_fragmented_media_consumption,C002,A06C_fragmented_media_consumption,A06C,A,air
C003_km_cognitive_pyramid,C003,A06D_km_cognitive_pyramid,A06D,A,air
C005_iphone_generation_paradox,C005,W00B_iphone_generation_paradox,W00B,W,water
C006_epistemology_truth_knowledge_belief,C006,E023_epistemology_truth_knowledge_belief,E023,E,earth
C007_consciousness_beyond_materialism,C007,M016_consciousness_beyond_materialism,M016,M,metal
C008_consciousness_reductionism_debate,C008,A06E_consciousness_reductionism_debate,A06E,A,air
C009_exploring_consciousness,C009,A06F_exploring_consciousness,A06F,A,air
C010_authority_influence,C010,A070_authority_influence,A070,A,air
C011_ai_romance_artificial_intimacy,C011,W00C_ai_romance_artificial_intimacy,W00C,W,water
C021_scientist_mindset,C021,A071_scientist_mindset,A071,A,air
C030_psychological_power_of_words,C030,A072_psychological_power_of_words,A072,A,air
C037_plural_subject_theory,C037,A073_plural_subject_theory,A073,A,air
C041_human_augmentation,C041,M017_human_augmentation,M017,M,metal
C042_essence_of_dualities,C042,A074_essence_of_dualities,A074,A,air
C043_carl_jung_psychological_insights,C043,W00D_carl_jung_psychological_insights,W00D,W,water
C045_nature_of_consciousness,C045,E024_nature_of_consciousness,E024,E,earth
C051_robust_thought_mental_processing,C051,W00E_robust_thought_mental_processing,W00E,W,water
C052_heuristics_and_biases,C052,A075_heuristics_and_biases,A075,A,air
C053_brain_computer_interfaces,C053,A076_brain_computer_interfaces,A076,A,air
C054_principle_of_bivalence,C054,A077_principle_of_bivalence,A077,A,air
C055_co_solipsism_co_sphere,C055,W00F_co_solipsism_co_sphere,W00F,W,water
C056_ignorance_map,C056,A078_ignorance_map,A078,A,air
C057_ai_linked_psychosis,C057,W010_ai_linked_psychosis,W010,W,water
C058_cognitive_adaptability_ai,C058,A079_cognitive_adaptability_ai,A079,A,air
C059_subconscious_games_decision_making,C059,A07A_subconscious_games_decision_making,A07A,A,air
C060_post_singularity_education,C060,F006_post_singularity_education,F006,F,fire
C061_social_context_cognition,C061,W011_social_context_cognition,W011,W,water
C062_beliefs_structure_impact,C062,A07B_beliefs_structure_impact,A07B,A,air
C063_knowledge_learning_wisdom,C063,A07C_knowledge_learning_wisdom,A07C,A,air
C064_contrarian_thinking,C064,A07D_contrarian_thinking,A07D,A,air
C066_wisdom_focused_collaborative_ai,C066,A07E_wisdom_focused_collaborative_ai,A07E,A,air
C067_meditation_bci_control,C067,A07F_meditation_bci_control,A07F,A,air
C068_jazz_improvisation_neural_mechanisms,C068,F007_jazz_improvisation_neural_mechanisms,F007,F,fire
C069_epistemic_challenges_open_societies,C069,E025_epistemic_challenges_open_societies,E025,E,earth
C070_collective_cognition,C070,W012_collective_cognition,W012,W,water
C071_information_overload_freedom_discern,C071,A080_information_overload_freedom_discern,A080,A,air
C072_psilocybin_brain_activity,C072,F008_psilocybin_brain_activity,F008,F,fire
C073_freedom_within_constraints,C073,F009_freedom_within_constraints,F009,F,fire
C074_six_cyborgs_global_challenges,C074,E026_six_cyborgs_global_challenges,E026,E,earth
C075_clausewitz_wondrous_trinity,C075,F00A_clausewitz_wondrous_trinity,F00A,F,fire
C076_mastering_critical_thinking_skills,C076,M018_mastering_critical_thinking_skills,M018,M,metal
C077_brain_learning_ux,C077,W013_brain_learning_ux,W013,W,water
C078_human_behavior_ai_training,C078,W014_human_behavior_ai_training,W014,W,water
C079_legalese_authority,C079,A081_legalese_authority,A081,A,air
C080_global_development_inequality,C080,W015_global_development_inequality,W015,W,water
C081_ai_emotions_truthfulness_security,C081,E027_ai_emotions_truthfulness_security,E027,E,earth
